networkId,roadTemperature,airTemperature,airHumidity,precipitation,batteryLevel,rssi,seqNumber,transmissionSeqNumber,firmwareVersion,time,createdAt
14484CA85F3FB,-0.1,0.6000000000000001,93.0,0.0,5.0,,,,,2024-02-11T20:04:30.000,2024-02-11T20:12:43.820
14484CA85F3FB,-0.1,0.6000000000000001,94.0,0.0,4.9,,,,,2024-02-11T20:12:00.000,2024-02-11T20:13:38.697
14484CA85F3FB,,,,,,18.0,3500.0,,"1,7",2024-02-11T20:12:39.779,2024-02-11T20:12:40.059
14484CA85F3FB,,,,,,18.0,3501.0,,"1,7",2024-02-11T20:13:33.116,2024-02-11T20:13:33.175
14484CA85F3FB,-0.2,0.6000000000000001,94.0,0.0,4.9,,,,,2024-02-11T20:16:30.000,2024-02-11T20:18:09.677
14484CA85F3FB,-0.2,0.6000000000000001,94.0,0.0,4.9,,,,,2024-02-11T20:16:30.000,2024-02-11T20:18:10.386
14484CA85F3FB,,,,,,18.0,3502.0,,"1,7",2024-02-11T20:18:01.699,2024-02-11T20:18:01.834
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T20:21:30.000,2024-02-11T20:28:39.021
14484CA85F3FB,-0.2,0.5,94.0,0.0,5.0,,,,,2024-02-11T20:26:30.000,2024-02-11T20:28:41.480
14484CA85F3FB,,,,,,20.0,3503.0,,"1,7",2024-02-11T20:28:34.676,2024-02-11T20:28:34.842
14484CA85F3FB,-0.2,0.5,94.0,0.0,4.9,,,,,2024-02-11T20:31:30.000,2024-02-11T20:39:11.900
14484CA85F3FB,,,,,,19.0,3504.0,,"1,7",2024-02-11T20:36:59.376,2024-02-11T20:36:59.513
14484CA85F3FB,,,,,,19.0,3504.0,,"1,7",2024-02-11T20:36:59.381,2024-02-11T20:36:59.515
14484CA85F3FB,,,,,,19.0,3504.0,,"1,7",2024-02-11T20:37:00.657,2024-02-11T20:37:01.043
14484CA85F3FB,-0.2,0.5,94.0,0.0,4.9,,,,,2024-02-11T20:37:30.000,2024-02-11T20:39:15.615
14484CA85F3FB,,,,,,18.0,3504.0,,"1,7",2024-02-11T20:39:08.245,2024-02-11T20:39:08.545
14484CA85F3FB,-0.2,0.5,94.0,0.0,4.9,,,,,2024-02-11T20:42:30.000,2024-02-11T20:44:10.718
14484CA85F3FB,,,,,,18.0,3505.0,,"1,7",2024-02-11T20:44:05.074,2024-02-11T20:44:06.266
14484CA85F3FB,-0.2,0.5,94.0,0.0,4.9,,,,,2024-02-11T20:47:30.000,2024-02-11T20:50:29.464
