networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:52:30.000,2023-12-11T14:13:51.511
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T12:57:30.000,2023-12-11T14:14:24.246
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T13:02:30.000,2023-12-11T14:14:26.999
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T13:07:30.000,2023-12-11T14:14:32.579
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T13:12:30.000,2023-12-11T14:14:37.555
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T13:17:30.000,2023-12-11T14:14:42.578
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T13:22:30.000,2023-12-11T14:14:44.632
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T13:27:30.000,2023-12-11T14:14:52.358
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T13:32:30.000,2023-12-11T14:15:50.490
14484CA7BED21,1.7000000000000002,0.0,6.2,,,,,2023-12-11T13:37:30.000,2023-12-11T14:15:55.152
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T13:42:30.000,2023-12-11T14:16:00.789
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T13:47:30.000,2023-12-11T14:16:05.983
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T13:52:30.000,2023-12-11T14:16:10.708
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T13:57:30.000,2023-12-11T14:16:14.950
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T14:02:30.000,2023-12-11T14:16:18.749
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T14:07:30.000,2023-12-11T14:16:22.310
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T14:12:30.000,2023-12-11T14:16:26.273
14484CA7BED21,,,,7.0,19.0,"1,4",cfg,2023-12-11T14:13:25.686,2023-12-11T14:13:26.016
14484CA7BED21,1.6800000000000002,0.01,6.0,,,,,2023-12-11T14:17:30.000,2023-12-11T15:53:25.304
14484CA7BED21,1.67,0.02,6.0,,,,,2023-12-11T14:22:30.000,2023-12-11T15:53:30.333
14484CA7BED21,1.65,0.04,6.0,,,,,2023-12-11T14:27:30.000,2023-12-11T15:53:35.288
14484CA7BED21,1.69,0.0,6.0,,,,,2023-12-11T14:32:30.000,2023-12-11T15:53:38.162
14484CA7BED21,1.67,0.02,6.0,,,,,2023-12-11T14:37:30.000,2023-12-11T15:53:42.788
14484CA7BED21,1.65,0.04,6.0,,,,,2023-12-11T14:42:30.000,2023-12-11T15:53:46.548
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T14:47:30.000,2023-12-11T15:53:51.881
14484CA7BED21,1.67,0.02,6.0,,,,,2023-12-11T14:52:30.000,2023-12-11T15:53:56.966
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T14:57:30.000,2023-12-11T15:54:02.021
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:02:30.000,2023-12-11T15:54:07.143
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:07:30.000,2023-12-11T15:54:12.386
14484CA7BED21,1.67,0.02,6.0,,,,,2023-12-11T15:12:30.000,2023-12-11T15:54:14.237
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:17:30.000,2023-12-11T15:54:18.104
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:22:30.000,2023-12-11T15:54:21.293
14484CA7BED21,1.65,0.04,6.0,,,,,2023-12-11T15:27:30.000,2023-12-11T15:54:24.914
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:32:30.000,2023-12-11T15:54:28.774
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:37:30.000,2023-12-11T15:54:33.138
14484CA7BED21,1.67,0.02,6.0,,,,,2023-12-11T15:42:30.000,2023-12-11T15:54:37.144
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:47:30.000,2023-12-11T15:54:40.246
14484CA7BED21,1.6600000000000001,0.03,6.0,,,,,2023-12-11T15:52:30.000,2023-12-11T15:54:44.194
14484CA7BED21,,,,7.0,20.0,"1,4",cfg,2023-12-11T15:53:20.043,2023-12-11T15:53:20.149
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T15:57:30.000,2023-12-11T17:33:27.089
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:02:30.000,2023-12-11T17:33:32.438
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:07:30.000,2023-12-11T17:33:39.718
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:12:30.000,2023-12-11T17:33:44.689
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:17:30.000,2023-12-11T17:33:49.783
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:22:30.000,2023-12-11T17:33:58.357
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:27:30.000,2023-12-11T17:34:00.796
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T16:32:30.000,2023-12-11T17:34:06.347
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T16:37:30.000,2023-12-11T17:34:11.771
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T16:42:30.000,2023-12-11T17:34:17.428
