networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,167.0,0.02,6.0,,,,,2023-12-11 15:12:30.000,2023-12-11 15:54:14.237
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:17:30.000,2023-12-11 15:54:18.104
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:22:30.000,2023-12-11 15:54:21.293
14484CA7BED21,165.0,0.04,6.0,,,,,2023-12-11 15:27:30.000,2023-12-11 15:54:24.914
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:32:30.000,2023-12-11 15:54:28.774
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:37:30.000,2023-12-11 15:54:33.138
14484CA7BED21,167.0,0.02,6.0,,,,,2023-12-11 15:42:30.000,2023-12-11 15:54:37.144
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:47:30.000,2023-12-11 15:54:40.246
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:52:30.000,2023-12-11 15:54:44.194
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 15:57:30.000,2023-12-11 17:33:27.089
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:02:30.000,2023-12-11 17:33:32.438
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:07:30.000,2023-12-11 17:33:39.718
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:12:30.000,2023-12-11 17:33:44.689
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:17:30.000,2023-12-11 17:33:49.783
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:22:30.000,2023-12-11 17:33:58.357
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:27:30.000,2023-12-11 17:34:00.796
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 16:32:30.000,2023-12-11 17:34:06.347
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 16:37:30.000,2023-12-11 17:34:11.771
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:42:30.000,2023-12-11 17:34:17.428
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:47:30.000,2023-12-11 17:34:19.871
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:52:30.000,2023-12-11 17:34:24.311
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 16:57:30.000,2023-12-11 17:34:26.767
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:02:30.000,2023-12-11 17:34:30.724
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:07:30.000,2023-12-11 17:34:35.888
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:12:30.000,2023-12-11 17:34:39.686
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:17:30.000,2023-12-11 17:34:43.572
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:22:30.000,2023-12-11 17:34:47.371
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:27:30.000,2023-12-11 17:34:54.384
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 17:32:30.000,2023-12-11 17:34:57.614
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:37:30.000,2023-12-11 19:13:27.773
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:42:30.000,2023-12-11 19:13:33.986
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:47:30.000,2023-12-11 19:13:39.020
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 17:52:30.000,2023-12-11 19:13:44.043
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 17:57:30.000,2023-12-11 19:13:49.142
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:02:30.000,2023-12-11 19:13:56.205
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:07:30.000,2023-12-11 19:14:02.817
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:12:30.000,2023-12-11 19:14:07.578
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:17:30.000,2023-12-11 19:14:16.911
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:22:30.000,2023-12-11 19:14:21.027
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:27:30.000,2023-12-11 19:14:26.465
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:32:30.000,2023-12-11 19:14:31.763
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:37:30.000,2023-12-11 19:14:38.391
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:42:30.000,2023-12-11 19:14:40.896
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:47:30.000,2023-12-11 19:14:44.315
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:52:30.000,2023-12-11 19:14:48.162
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 18:57:30.000,2023-12-11 19:14:51.832
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:02:30.000,2023-12-11 19:14:55.707
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:07:30.000,2023-12-11 19:14:59.629
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:12:30.000,2023-12-11 19:15:03.741
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:17:30.000,2023-12-11 20:53:32.367
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:22:30.000,2023-12-11 20:53:37.858
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:27:30.000,2023-12-11 20:53:43.711
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:32:30.000,2023-12-11 20:53:50.038
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:37:30.000,2023-12-11 20:53:53.528
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:42:30.000,2023-12-11 20:53:58.856
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:47:30.000,2023-12-11 20:54:03.809
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:52:30.000,2023-12-11 20:54:08.970
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 19:57:30.000,2023-12-11 20:54:14.869
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:02:30.000,2023-12-11 20:54:19.312
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:07:30.000,2023-12-11 20:54:24.312
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:12:30.000,2023-12-11 20:54:29.408
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:17:30.000,2023-12-11 20:54:34.516
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:22:30.000,2023-12-11 20:54:39.704
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:27:30.000,2023-12-11 20:54:44.840
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 20:32:30.000,2023-12-11 20:54:51.568
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:37:30.000,2023-12-11 20:54:54.740
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:42:30.000,2023-12-11 20:54:58.902
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:47:30.000,2023-12-11 20:55:04.235
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 20:52:30.000,2023-12-11 20:55:09.379
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 20:57:30.000,2023-12-11 22:33:34.099
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:02:30.000,2023-12-11 22:33:40.232
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 21:07:30.000,2023-12-11 22:33:46.684
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:12:30.000,2023-12-11 22:33:51.915
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:17:30.000,2023-12-11 22:33:56.818
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:22:30.000,2023-12-11 22:34:01.862
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:27:30.000,2023-12-11 22:34:07.055
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:32:30.000,2023-12-11 22:34:12.567
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:37:30.000,2023-12-11 22:34:17.339
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 21:42:30.000,2023-12-11 22:34:22.364
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:47:30.000,2023-12-11 22:34:27.855
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:52:30.000,2023-12-11 22:34:32.607
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 21:57:30.000,2023-12-11 22:34:37.825
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:02:30.000,2023-12-11 22:34:42.901
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:07:30.000,2023-12-11 22:34:48.204
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:12:30.000,2023-12-11 22:34:53.065
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:17:30.000,2023-12-11 22:34:58.446
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:22:30.000,2023-12-11 22:35:03.455
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:27:30.000,2023-12-11 22:35:08.606
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:32:30.000,2023-12-11 22:35:13.548
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:37:30.000,2023-12-12 02:02:08.490
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:42:30.000,2023-12-12 02:02:12.469
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:47:30.000,2023-12-12 02:02:16.317
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:52:30.000,2023-12-12 02:02:19.907
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 22:57:30.000,2023-12-12 02:02:23.628
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:02:30.000,2023-12-12 02:02:27.996
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:07:30.000,2023-12-12 02:02:31.309
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:12:30.000,2023-12-12 02:02:35.544
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:17:30.000,2023-12-12 02:02:39.164
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:22:30.000,2023-12-12 02:02:42.902
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:27:30.000,2023-12-12 02:02:46.744
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:32:30.000,2023-12-12 02:02:50.989
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:37:30.000,2023-12-12 02:02:54.389
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:42:30.000,2023-12-12 02:02:58.318
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:47:30.000,2023-12-12 02:03:02.277
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:52:30.000,2023-12-12 02:03:05.880
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 23:57:30.000,2023-12-12 02:03:09.870
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-12 00:02:30.000,2023-12-12 02:03:13.542
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-12 00:07:30.000,2023-12-12 02:03:17.602
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-12 00:12:30.000,2023-12-12 02:03:21.194
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:25:00.000,2023-12-12 02:03:25.123
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:29:30.000,2023-12-12 02:03:29.171
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:34:30.000,2023-12-12 02:03:32.706
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:39:30.000,2023-12-12 02:03:37.394
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:44:30.000,2023-12-12 02:03:40.470
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:49:30.000,2023-12-12 02:03:44.293
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:54:30.000,2023-12-12 02:03:48.391
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 00:59:30.000,2023-12-12 02:03:52.409
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:04:30.000,2023-12-12 02:03:55.944
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:09:30.000,2023-12-12 02:03:59.644
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:14:30.000,2023-12-12 02:04:05.080
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:19:30.000,2023-12-12 02:04:10.289
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:24:30.000,2023-12-12 02:04:16.560
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:29:30.000,2023-12-12 02:04:20.710
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:34:30.000,2023-12-12 02:04:25.270
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:39:30.000,2023-12-12 02:04:29.160
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:44:30.000,2023-12-12 02:04:33.563
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:49:30.000,2023-12-12 02:04:37.572
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:54:30.000,2023-12-12 02:04:41.367
14484CA7BED21,166.0,0.03,5.6,,,,,2023-12-12 01:59:30.000,2023-12-12 02:04:44.535
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:05:00.000,2023-12-12 03:40:34.737
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:09:30.000,2023-12-12 03:40:40.223
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:14:30.000,2023-12-12 03:40:44.649
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:19:30.000,2023-12-12 03:40:48.458
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:24:30.000,2023-12-12 03:40:53.358
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:29:30.000,2023-12-12 03:40:58.534
14484CA7BED21,166.0,0.03,6.1,,,,,2023-12-12 02:34:30.000,2023-12-12 03:41:04.304
